"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","CASINJRR","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","STATION","COUNTY","STATE","REGION","DUMMY2","CITY","HIGHWAY","VEHSPD","TYPVEH","VEHDIR","POSITION","RREQUIP","RRCAR","TYPACC","HAZARD","TEMP","VISIBLTY","WEATHER","TYPEQ","TYPTRK","TRKNAME","TRKCLAS","NBRLOCOS","NBRCARS","TRNSPD","TYPSPD","TRNDIR","SIGNAL","LOCWARN","WARNSIG","LIGHTS","STANDVEH","TRAIN2","MOTORIST","VIEW","VEHDMG","DRIVER","INVEH","TOTKLD","TOTINJ","TOTOCC","INCDRPT","JOINTCD","TYPRR","DUMMY3","CASKLDRR","DUMMY4","CROSSING","NARRLEN","DUMMY5","YEAR4","DIVISION","PUBLIC","CNTYCD","STCNTY","HZMRLSED","HZMNAME","HZMQNTY","HZMMEAS","SIGWARNX","WHISBAN","DRIVAGE","DRIVGEN","PLEONTRN","SSB1","SSB2","USERKLD","USERINJ","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","NARR1","NARR2","NARR3","NARR4","NARR5","SUBDIV","ROADCOND","VIDEOT",VIDEOU
"","19","07","NRTX","071619    ","","","    ","          ","19","07","NERR","XXX       ","","0","348836J","19","07","16","9","16","AM","LEBANON             ","WILSON              ","47","3","","LEBANON             ","SOUTH MAPLE STREET  ","10","D","1","3","1","001","1","4","80","2","1","3","1","MAIN YARD TRACK     ","1","1","2","019","R","3","1","1","2","2","2","2","3","8","9000","3","1","0","0","1","2","1","6 ","","0","  ","030607        ","394","","2019","                    ","Y","189","47C189","4","","",""," "," ","72","1","0002","                    ","                    ","0","0","0","0","0","0","TRAIN 155E WAS CROSSING THE LEBANON YARD TOWARD THE SHOP AFTER COMPLETING ITS MORNING COMMUTER RUNS.","  TRAIN WAS SOUNDING HORN, RINGING BELL, GRADE CROSSING WARNING DEVICES WERE WORKING PROPERLY.  PICK"," UP TRUCK NEVER STOPPED AND CROSSED IN THE TRACK IN FRONT OF THE TRAIN AND WAS STRUCK BY THE TRAIN. "," LOCOMOTIVE ENGINEER PUT THE TRAIN IN EMERGENCY.  DRIVER WAS UNINJURED.  NO DELAYS IN SERVICE.","","NASHVILLE           ","A","1","2",
"","19","07","NS  ","134926    ","","","    ","          ","19","07","NS  ","134926    ","","0","730275X","19","07","30","9","25","AM","BULLS GAP           ","HAWKINS             ","47","3","","N/A                 ","LR/BENT CREEK ROAD  ","2","B","2","3","1","001","1","4","77","2","1","1","1","SINGLE MAIN TRACK   ","2","1","5","017","E","3"," ","1","2","2","2","2","3","8","10000","3","1","0","0","1","2","1","1 ","","0","  ","07            ","59","","2019","                    ","Y","073","47C073","4","","",""," "," ","58","1","0003","                    ","                    ","0","0","0","0","0","0","NS TRAIN T53T430 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.","","","","","POCAHONTAS          ","A","2","2",
"","19","09","IC  ","1012101   ","","","    ","          ","19","09","IC  ","1012101   ","","0","967710K","19","09","10","5","35","PM","MEMPHIS             ","SHELBY              ","47","3","","MEMPHIS             ","WHITNEY AVE         ","3","D","4","3","2","001","1","4","86","2","1","1","1","XG MEMPHIS 387.10 0.","1","1","12","005","R","1"," ","1","2","1","2","2","5","8","5000","3","1","0","0","1","2","1","Cl","","0","  ","07            ","289","","2019","                    ","Y","157","47C157","4","","",""," "," ","34","1","0003","                    ","                    ","0","0","0","0","0","0","DRIVER OF A PICK UP TRUCK WAS ENGAGED IN A DISPUTE WITH THE VEHICLE IN FRONT OF HIM. DRIVER OF THE P","ICK UP RAMMED THE VEHICLE IN FRONT OF HIM. THE RAMMED CAR MADE IT THROUGH THE CROSSING. THE DRIVER O","F THE PICK UP THEN ATTEMPTED TO GO OVER THE CROSSING AND STRUCK THE SIDE OF THE LEAD CAR.","","","MEMPHIS             ","A","2","2",
"","19","09","NS  ","135454    ","","","    ","          ","19","09","NS  ","135454    ","","1","732175A","19","09","11","6","15","PM","MEMPHIS             ","SHELBY              ","47","3","","MEMPHIS             ","LS/GOODLETT ST      ","0","A","2","2","1","001","1","4","95","3","1","1","1","SINGLE MAIN TRACK   ","3","5","36","026","E","4","1","1","1","1","2","2","4","8","25000","2","1","0","1","1","2","1","1 ","","0","  ","010203050607  ","59","","2019","                    ","Y","157","47C157","4","","",""," "," ","26","2","0002","                    ","                    ","0","1","0","0","0","0","NS TRAIN 23NAB10 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.","","","","","ALABAMA             ","A","2","2",
"","19","09","CSX ","000185203 ","","","    ","          ","19","09","CSX ","000185203 ","","1","348353C","19","09","07","11","40","AM","TREZEVANT           ","CARROLL             ","47","3","","TREZEVANT           ","WINGO RD            ","10","A","3","3","1","001","1","4","95","2","1","1","1","SINGLE MAIN TRACK   ","3","2","73","045","E","1","4","1","2","2","2","2","1","8","6500","2","1","0","1","1","2","1","CL","","0","  ","01030607      ","56","","2019","                    ","Y","017","47C017","4","","",""," "," ","51","1","0002","                    ","                    ","0","1","0","0","0","0","Q53206 STRUCK AN OCCUPIED VEHICLE AT WINGO RD CROSSING..","","","","","MEMPHIS             ","A","2","2",
"","19","04","WC  ","996189    ","","","    ","          ","19","04","WC  ","996189    ","","0","692983R","19","04","27","6","46","PM","WHEELER             ","DUNN                ","55","4","","WHEELER             ","BRIDGE ST           ","15","A","2","3","1","001","1","4","35","3","1","1","1","SINGLE MAIN TACK    ","3","2","38","035","R","2"," ","1","2","3","2","2","3","8","2500","3","1","0","0","2","2","1","6 ","","0","  ","07            ","187","","2019","                    ","Y","033","55C033","4","","",""," "," ","31","2","0002","                    ","                    ","0","0","0","0","0","0","AT 1846 CDT ON APRIL 27TH TRAIN L51681-27 MADE CONTACT WITH A TWO OCCUPANT MOTOR VEHICLE AT THE CROS","SING. NO INJURIES TO CREW OR OCCUPANTS OF THE VEHICLE. CROSSING PROTECTED BY CROSSBUCKS","","","","MINNEAPOLIS         ","A","1","1",
"","19","04","WC  ","995449    ","","","    ","          ","19","04","WC  ","995449    ","","1","692611Y","19","04","22","1","0","AM","MARSHFIELD          ","WOOD                ","55","4","","MARSHFIELD          ","MAPLE AVE           ","","A","2","3","1","060","2","2","49","4","2","1","1","SINGLE MAIN TRACK   ","3","2","62","001","R","1","1","1","1","1","2","2","7","8","0","2","1","0","1","1","2","1","6 ","","0","  ","01030607      ","456","","2019","                    ","Y","141","55C141","4","","",""," "," ","34","1","0002","                    ","                    ","0","1","0","0","0","0","AT 0100 CDT ON APRIL 22ND A SINGLE OCCUPANT MOTOR VEHICLE MADE CONTACT WITH THE SIDE OF TRAIN A40381","-22 AT THE CROSSING AT MILE 280.9 (NORTH MARSHFIELD) ON THE SUPERIOR SUBDIVISION.  OCCUPANT OF THE V","EHICLE WAS TRANSPORTED TO LOCAL HOSPITAL WITH NON LIFE THREATENING INJURIES.  NO INJURIES TO CREW.  ","TRAIN A40481-22 WAS STRUCK BY MOTOR VEHICLE AT CROSSING 6926118Y.  THE VEHICLE STRUCK THE LAST CARS ","IN THE CONSIST.  SPEED AND DAMAGE TO VEHICLE IS UNKNOWN.","SUPERIOR            ","A","2","2",
"","19","03","UP  ","0319GL014 ","","","    ","          ","19","03","UP  ","0319GL014 ","","0","185874P","19","03","06","10","18","AM","SOUTH PHILLIPS      ","EAU CLAIRE          ","55","4","","EAU CLAIRE          ","REDWOOD DRIVE       ","20","A","3","3","1","001","1","2","7","2","1","1","1","SINGLE MAIN TRACK   ","2","3","100","019","R","1"," ","1","2","2","2","2","3","8","6000","3","1","0","0","1","2","1","CL","","0","  ","08            ","37","","2019","                    ","Y","035","55C035","4","","",""," "," ","22","2","0002","                    ","                    ","0","0","0","0","0","0","HIGHWAY USER'S ACTIONS: DID NOT STOP.","","","","","CHIPPEWA FALLS SUB  ","C","1","1",
"","19","04","WSOR","190423002 ","","","    ","          ","19","04","WSOR","190423002 ","","1","180330A","19","04","23","4","55","PM","PLYMOUTH            ","SHEBOYGAN           ","55","4","","PLYMOUTH            ","PLEASANT VIEW ROAD  ","25","A","2","3","1","001","1","4","65","2","1","1","1","MAIN                ","2","1","3","021","E","3"," ","1","2","3","2","2","3","8","50000","2","1","0","1","1","2","1","Cl","","0","  ","0711          ","467","","2019","                    ","Y","117","55C117","4","","",""," "," ","81","1","0003","                    ","                    ","0","1","0","0","0","0","THE L243 TRAVELING WESTBOUND ON THE SHEBOYGAN SUB STRUCK A VEHICLE AT MP 12.68, PLEASANT VIEW RD. TH","E L243 CREW WERE OPERATING LONG NOSE  WITH A TOTAL OF 3 EMPTY COVERED HOPPERS IN THEIR TRAIN. THE VE","HICLE FAILED TO YIELD AT THE CROSSING RESULTING IN THE LOCOMOTIVE STRIKING THE VEHICLE ON THE DRIVER","’S SIDE DOOR. THE OCCUPANT OF THE VEHICLE WAS LIFE FLIGHTED FROM THE SCENE BUT WAS CONSCIOUS AND SHO","WED NO VISIBLE INJURIES. DRIVER ISSUED A FAILURE TO YIELD CITATION.","SHEBOYGAN FALLS     ","A","2","2",
"","19","04","WSOR","190426001 ","","","    ","          ","19","04","WSOR","190426001 ","","0","387972P","19","04","26","9","20","AM","JANESVILLE          ","ROCK                ","55","4","","JANESVILLE          ","S. LAPRAIRIE TOWNHAL","25","A","1","3","1","003","2","4","54","2","1","1","1","MAIN                ","3","1","3","037","E","4"," ","1","2","3","2","2","3","8","5500","3","1","0","0","1","2","1","Cl","","0","  ","0807          ","415","","2019","                    ","Y","105","55C105","4","","",""," "," ","27","1","0003","                    ","                    ","0","0","0","0","0","0","WSOR CROSSING INCIDENT JANESVILLE, WI: ON APRIL 26, 2019 AT APPROXIMATELY 09:20 THE L351 TRAVELING E","ASTWARD ON THE FOX LAKE SUB WAS STRUCK BY A VEHICLE AT MP 93.61, S LAPRAIRIE TOWN HALL RD. THE VEHIC","LE FAILED TO YIELD AT THE CROSSING RESULTING IN THE VEHICLE STRIKING THE REAR TRUCK SET ON THE HEAD ","CAR IN THEIR TRAIN. THE OCCUPANT WAS CONSCIOUS WITH NO VISIBLE SIGNS OF INJURIES AND WAS CHECKED OUT"," BY LOCAL EMTS.","FOX LAKE            ","A","2","2",
