CrossingID,SubmissionType,ReportBaseId,ParentReportBaseId,CrossingClosed,ReportingAgencyTypeID,ReportingAgencyID,RevisionDate,ReasonID,CrossingIdSuffix,ReportStatus,LastUpdated,Railroad,StateCD,StateName,CntyCD,CountyName,Nearest,CityCD,CityName,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFiLed,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrvcIDs,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,SfxHscoRrid,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,RrNarr,StNarr,PolCont,RrCont,HwyCont,THRRequestNo,CCMQzid,OperatingRailroadCode,OperatingRailroadType,RrDiv,RrSubDiv,Branch,PrfxMilePost,MilePost,SfxMilePost,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTrk,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDvce,HealthMonitor,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSigns,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,GateConfType,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostType,Bkl_FlashPost,Sdl_FlashPost,FlashPai,AwdIDate,AwhornChk,AwhornlDate,HwyTrafSignl,Wigwags,Bells,SpecPro,FlashOth,FlashOthDes,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigsdis,HwtrfPsiglndis,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLength,XSurfaceIDs,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrdtpID,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePost,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrvc,ReportYear,ReportType,DATE_CREAT,DATE_EDITE,OBJECTID,COUNTYNAME,CREATED_BY,EDITED_BY,geometry,reason,city,state,street,railroad,dateTime,duration,created
478558D,Full Inventory Record,5032478,4955210,No,1,1622,5/1/2022 12:00:00 AM,14,NS,Published,5/1/2022 6:59:46 AM,NS,18,IN,18099,MARSHALL,1,180991120,CULVER,MAIN STREET,NA,SR 17,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362894,HIBBARD,-1,-1,3,1,1,NA,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,8554636848,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,440.43,NA,2,0,8,10,4,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,2,2,1,2,0,NA,1,2,NA,NA,NA,NA,NA,2,NA,"1,2",5,2,1,1,2,58,2,2,NA,NA,NA,NA,2,0,1,NA,0,0,0,4,1,1,2,4,NA,2,NA,2,0,1,0,0,gate lights,2,1,NA,2,0,0,0,8,2,2,1,2,2,NA,10,24,12,New surface in 2019,2,NA,3,1,3,0,17,1,35,1,NA,NA,3365,2018,10,2,0,NA,2,2022,Major,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.4148717, 41.2555058)",A stationary train,CULVER,IN,MAIN STREET,NS,2021-07-25T01:57:14,16-30 minutes,2021-07-24T21:57:57.137
155398Y,Full Inventory Record,4436073,3510877,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:42:00 AM,CSX,18,IN,18085,KOSCIUSKO,1,180854810,SYRACUSE,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911900,362621,MILFORD JCT,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,162.19,NA,2,0,18,21,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.77712, 41.42406)",A stationary train,SYRACUSE,IN,PRIVATE ROAD,CSX,2022-03-10T11:12:04,16-30 minutes,2022-03-10T06:12:48.07
478471M,Full Inventory Record,5033586,4956823,No,1,1622,5/2/2022 12:00:00 AM,14,NS,Published,5/2/2022 1:25:22 PM,NS,18,IN,18085,KOSCIUSKO,1,180854550,SIDNEY,ROAD 900 SOUTH,NA,CR 900S,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,60,2,2,SECTION 130 PROJECT COMPLETED 02/11/2003,SECTION 130 PROJECT COMPLETED 02/11/2003,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,402.8,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,0,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,0,0,0,2,1,1,2,4,022003,2,NA,2,0,1,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,0,18,2,35,1,NA,NA,500,2018,10,1,3,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7318605, 41.1027878)",A stationary train,SIDNEY,IN,ROAD 900 SOUTH,NS,2022-05-05T12:37:00,2-6 hours,2022-05-05T08:38:13.66
478471M,Full Inventory Record,5033586,4956823,No,1,1622,5/2/2022 12:00:00 AM,14,NS,Published,5/2/2022 1:25:22 PM,NS,18,IN,18085,KOSCIUSKO,1,180854550,SIDNEY,ROAD 900 SOUTH,NA,CR 900S,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,60,2,2,SECTION 130 PROJECT COMPLETED 02/11/2003,SECTION 130 PROJECT COMPLETED 02/11/2003,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,402.8,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,0,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,NA,NA,0,0,0,2,1,1,2,4,022003,2,NA,2,0,1,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,0,18,2,35,1,NA,NA,500,2018,10,1,3,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7318605, 41.1027878)",A stationary train,SIDNEY,IN,ROAD 900 SOUTH,NS,2022-05-02T12:17:00,2-6 hours,2022-05-02T08:17:17.84
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T10:30:00,2-6 hours,2022-05-05T18:29:08.547
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T12:00:00,2-6 hours,2022-05-05T08:50:42.903
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T12:48:00,1-2 hours,2022-05-05T08:48:59.37
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T12:38:00,2-6 hours,2022-05-05T08:38:33.003
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T12:34:00,2-6 hours,2022-05-05T08:37:25.05
478472U,Full Inventory Record,5035938,4958887,No,1,1622,5/7/2022 12:00:00 AM,14,NS,Published,5/7/2022 9:14:02 PM,NS,18,IN,18085,KOSCIUSKO,0,180854550,SIDNEY,MAIN STREET,NA,SR 13,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,362690,E SIDNEY,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,80,2,1,NA,NA,8009464744,8009464744,3172321491,NA,NA,NS,Primary,GREAT LAKES,CHICAGO,#N\A,B,403.42,NA,2,0,14,12,6,0,2,NA,2020,60,40,60,1,1,0,0,0,0,NA,11,1,1,2,1,2,0,NA,1,NA,NA,NA,NA,NA,NA,2,NA,"1,2",5,NA,1,1,2,NA,0,0,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,1,10,NA,2,NA,2,0,2,0,0,NA,2,1,NA,2,0,0,0,8,2,NA,1,2,2,NA,NA,NA,13,NA,2,NA,3,1,8,1,17,1,25,1,NA,NA,2477,2018,11,1,12,NA,NA,2022,Major,2014-07-30,2014-07-30,63,KOSCIUSKO,DOTRAH,DOTRAH,"c(-85.7433927, 41.1046862)",A stationary train,SIDNEY,IN,MAIN STREET,NS,2022-05-05T12:14:00,2-6 hours,2022-05-05T08:14:36
